Season,Yield (tonne/ha)_mean,Yield (tonne/ha)_median,Yield (tonne/ha)_max,Yield (tonne/ha)_min,Yield (tonne/ha)_var,Es_mean,Es_median,Es_max,Es_min,Es_var,biomass_mean,biomass_median,biomass_max,biomass_var,harvest_index_mean,harvest_index_median,harvest_index_max,harvest_index_min,harvest_index_var
0,3.239474830393653,3.2391568614377912,3.2408555215142956,3.239049516202078,5.978624829403709e-07,70.75778042598077,70.61519367812336,71.09901651025675,70.59623000019334,0.05111442035906495,1219.7833441399541,1219.6704992181415,1220.2761213154056,0.07619403725741336,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.0
1,5.729936682288036,5.740394503339738,5.740394503339738,5.688105398081226,0.0005468301057471573,82.16298021365056,82.1697916359469,82.16980358705338,82.14062761693056,0.00016068493975360528,1338.5405513442088,1339.505795050945,1339.505795050945,4.658477066966838,0.48,0.48,0.48,0.48,0.0
2,7.045667743432075,7.019364352753032,7.139226977993541,6.913518553664225,0.009023013309254334,66.10558656936277,66.01366170223861,67.51607620395369,65.40905537660531,0.7417402878147983,1509.0363400236474,1495.8911181943388,1538.4169623330515,767.3078333008607,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.0
3,3.0537056539543714,3.0533173160113085,3.087819494874155,3.036356223958054,0.00043363683648425187,57.13981394194341,57.35266767419439,57.59543006763528,56.65077022559418,0.2048933681408151,1148.275293642015,1147.5570485827263,1150.3109502729671,3.6864544558605234,0.3849575185182979,0.3849575185182979,0.3849575185182979,0.3849575185182979,0.0
4,3.049208337830879,3.045183696458044,3.094766265936925,3.0157243338433393,0.0008113241377232561,64.64985911968931,65.22713982006103,65.8001055489221,63.34042470874518,1.3552558546641327,1199.7660698856027,1198.7671394558251,1209.8231790226118,38.496779578633834,0.48,0.48,0.48,0.48,0.0
5,8.155965961854937,8.155965961854937,8.155965961854937,8.155965961854937,0.0,61.23896571730669,61.232652079459434,61.26536804507674,61.23207365306754,0.0002179233821261313,1702.2091710437494,1702.2091710437492,1702.2091710437492,0.0,0.48,0.48,0.48,0.48,0.0
6,2.4627825474112,2.4695666127387526,2.4793968398577606,2.4249075632373787,0.00046848747705230344,81.12321883464635,81.21633216700324,81.6153187442762,80.14913474703589,0.3266190011868383,983.7479371552654,984.9410568844138,986.7923996094833,7.471476642395868,0.37552292530191994,0.37552292530191994,0.37552292530191994,0.37552292530191994,0.0
7,4.72655050015705,4.707876000127632,4.797270212518688,4.693544269997784,0.0019309802857063667,79.09263981625926,78.7490255085948,79.9475439090264,78.14603144218486,0.6174516160058143,1367.5353756542286,1364.4866307511172,1378.762031825601,47.23517570778119,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.0
8,0.29079495532132016,0.27565311382304747,0.3318729944912715,0.25951361072213586,0.0009987283453188262,82.95629468910235,83.92398165618138,84.26357796611521,80.20331151206734,3.0776281086838964,510.0979956412708,503.7312636273671,529.2175082700469,190.46963389941413,0.3708626776031363,0.3708626776031363,0.3708626776031363,0.3708626776031363,0.0
9,0.4553518034680786,0.4534468051951318,0.463643762194684,0.44996469270367906,3.4870869690370335e-05,80.59004631100724,81.25855983600601,82.94657825734268,77.14297558858891,5.8173984977404505,791.5859848623835,788.1355046240432,807.5922336099488,132.01421499155748,0.377810033644519,0.377810033644519,0.377810033644519,0.377810033644519,0.0
10,6.341602939949852,6.3467786271735465,6.347685181712892,6.319993636515728,0.00014607971862116325,59.824254892515754,59.733135991635194,60.25702762598655,59.664838861686604,0.059403418003537864,1448.6614413042246,1449.6055720933286,1449.706239399062,4.699589444891341,0.48,0.48,0.48,0.48,0.0
11,7.922767210405093,7.922767210405093,7.922767210405093,7.922767210405093,0.0,63.653151120679716,63.42677832046753,64.0847350535452,63.2474480825503,0.15896184618917142,1702.0075170440111,1702.0075170440111,1702.0075170440111,0.0,0.48,0.48,0.48,0.48,0.0
12,6.3759087090429,6.375638133802912,6.376511669689159,6.3754410360166345,3.0944254034050544e-07,63.17919589165797,62.28432352725364,65.10305643808695,61.496318762247355,2.8822769912659325,1496.2058822148679,1497.2744978996075,1497.3208020819527,2.2037922765265043,0.48,0.48,0.48,0.48,0.0
13,5.50421890389161,5.464359858650662,5.564007471753034,5.464359858650662,0.0029788940391000376,60.81674079034069,61.05457514521084,61.32625316582171,59.983116759544814,0.3624569638386282,1405.5149183883645,1398.7962326528013,1415.5929469917091,84.6388837748608,0.420389186292636,0.42038918629263605,0.42038918629263605,0.42038918629263605,0.0
14,0.0061235066261562925,0.007177682882203329,0.008512558920568316,0.0,1.2089193631825027e-05,85.57663909658882,85.68880453642538,85.71514198204105,85.30884294930888,0.03320712867442944,662.3373108996403,663.3973847874928,672.2431556804778,66.92664304127874,0.37416162369928946,0.37416162369928946,0.37416162369928946,0.37416162369928946,0.0
15,2.999520364648432,2.95536034829815,3.0781841601579956,2.9384012642510213,0.00501769078658049,64.47056897624626,66.18235336017544,67.28696043138893,61.128716921250295,9.45596762892125,1052.4827815534322,1046.9578153727732,1063.699795906817,105.26776407557776,0.34659081230860544,0.34337613308712606,0.3514128311408245,0.34337613308712606,1.93765546818961e-05
16,8.074958105448227,8.07495838424482,8.07495838424482,8.074957687253338,1.4573913754096927e-13,72.63444934770348,72.63188478996648,72.71965244436063,72.55052852991483,0.0071527799082388415,1649.2342817579258,1649.2346570116304,1649.2346570116304,2.6402876782967707e-07,0.48,0.48,0.48,0.48,0.0
17,3.241408021765424,3.217056841825407,3.4411627588759877,3.1471852272263727,0.013561295130942536,68.87931624477791,68.88191499889905,69.12095919675346,68.66584644938077,0.04297565800611931,1024.043815780926,1029.2598113014399,1030.0067101064792,69.78435480655617,0.44743434575362756,0.44743434575362756,0.44743434575362756,0.44743434575362756,0.0
18,4.268993208332082,4.272245987775864,4.28035908191622,4.250507602461233,0.0001334513988879953,77.80906475024547,77.45136940877204,79.0244435716881,76.49980634674989,1.0579461572695554,1192.2693495004503,1193.3780112199547,1200.2809838414719,33.60896494717224,0.44687212582471475,0.44687212582471475,0.44687212582471475,0.44687212582471475,0.0
19,4.596464310563981,4.5750642068583405,4.648076997315588,4.5654334891746835,0.0013645121966141067,61.538743727335394,60.89451799105915,62.6832266856217,60.725907464793615,1.05103114991682,1259.7435928320624,1256.9504742604277,1268.724024429217,35.27300812014535,0.43679887205377177,0.43679887205377177,0.43679887205377177,0.43679887205377177,0.0
20,0.09888468188202165,0.09467423672912195,0.10935204139153906,0.09151304390435588,7.326250949219506e-05,109.44417887908408,108.81705330466738,113.21168633296179,107.8781588853928,4.841713782408959,538.4270021723837,539.51500123708,548.3641532377351,106.16211746167879,0.4164070353588129,0.4164070353588129,0.4164070353588129,0.4164070353588129,0.0
21,1.817546165160082,1.8425187591696275,2.11743708764232,1.6081732867048526,0.046760304518753806,77.85772936013055,78.02508701147632,78.79116405474468,77.12771915710573,0.43746023054944233,1061.2476861044438,1063.3186799832688,1065.9590857524724,27.035633168872643,0.37436627178139603,0.37436627178139603,0.37436627178139603,0.37436627178139603,0.0
22,0.03531145166398014,0.0362818038574735,0.0403136681071108,0.02685772566390543,2.960546886035929e-05,142.77042787548467,141.89790252523773,145.36777404971522,141.60553017208224,2.574241615555837,168.32833496371535,174.9902058114921,175.9291977005666,127.1321498783505,0.03631942536544295,0.03541034901305288,0.039553035347209824,0.03167035810668932,1.1044783258432347e-05
